+----------------------------------+-------------+-----------------+
|            Algorithm             | Precision@5 |      NDCG@5     |
|    *(exp(#22()),/(1(),#38()))    |    0.128    | 0.0853840300339 |
|   /(/(1(),#38()),sqrt(#36()))    |    0.128    | 0.0854169564898 |
|    /(sqrt(#36()),log(#22()))     |    0.112    | 0.0854817835632 |
| /(/(#38(),#38()),+(#36(),#38())) |    0.136    | 0.0856425808276 |
|  /(/(1(),#38()),*(#22(),#22()))  |    0.128    | 0.0856724413684 |
|  /(/(1(),#20()),+(#36(),#38()))  |    0.136    | 0.0856877389979 |
|  /(/(#20(),#22()),sqrt(#22()))   |    0.112    | 0.0857413048236 |
|  /(/(1(),#22()),+(#36(),#38()))  |     0.12    | 0.0859172156791 |
| /(+(#36(),#38()),*(#38(),#38())) |    0.136    |  0.085942520908 |
| /(+(#36(),#20()),+(#36(),#38())) |    0.112    | 0.0860461747289 |
| /(/(#36(),#38()),*(#36(),#36())) |    0.128    | 0.0860785379713 |
|   /(/(#22(),#38()),exp(#22()))   |    0.128    | 0.0861082401259 |
|    /(/(1(),#22()),exp(#38()))    |     0.12    | 0.0861710271226 |
|  /(/(1(),#22()),*(#38(),#38()))  |    0.128    | 0.0861710271226 |
| /(+(#36(),#38()),*(#38(),#22())) |    0.128    | 0.0861869285773 |
|   /(/(1(),#38()),+(1(),#20()))   |    0.128    |  0.086195520271 |
| /(+(#36(),#22()),+(#38(),#38())) |     0.12    |  0.086389663668 |
| /(/(#20(),#36()),+(#36(),#38())) |    0.136    | 0.0863932250013 |
|   /(/(1(),#36()),+(1(),#22()))   |    0.136    | 0.0865550979732 |
| /(/(#20(),#22()),+(#36(),#38())) |     0.12    | 0.0865993630392 |
|    /(/(1(),#22()),log(#36()))    |     0.12    | 0.0866091092379 |
|          /(#36(),#38())          |    0.112    | 0.0866128024901 |
| /(/(#38(),#38()),+(#20(),#22())) |    0.136    | 0.0866181463706 |
|    /(exp(1()),*(#38(),#38()))    |    0.128    | 0.0866611795692 |
|  /(/(#20(),#36()),sqrt(#22()))   |     0.12    | 0.0868046889966 |
|   *(sqrt(#22()),/(1(),#38()))    |    0.128    | 0.0868242844085 |
|   /(/(#36(),#22()),exp(#36()))   |    0.104    | 0.0868298912109 |
|   /(log(#36()),+(#38(),#22()))   |     0.12    | 0.0868365714946 |
|   /(exp(#36()),*(#38(),#38()))   |    0.128    | 0.0868387699575 |
|   *(/(1(),#36()),/(1(),#38()))   |    0.128    | 0.0868611381342 |
| /(/(#20(),#22()),+(#20(),#38())) |    0.112    | 0.0868629206813 |
| /(/(#20(),#38()),*(#38(),#38())) |    0.136    | 0.0868841895284 |
| /(/(#20(),#38()),*(#22(),#22())) |     0.12    | 0.0870260255206 |
|  /(+(1(),#20()),*(#22(),#22()))  |    0.112    | 0.0870925814009 |
|          /(#18(),#38())          |    0.112    | 0.0870971367128 |
|  /(/(1(),#36()),+(#36(),#22()))  |    0.136    | 0.0871581963378 |
|     /(exp(#36()),log(#38()))     |    0.112    | 0.0872117621635 |
|  +(/(1(),#22()),/(#22(),#38()))  |    0.128    |  0.087353073128 |
|          /(#18(),#20())          |     0.12    | 0.0876324473298 |
|   /(+(1(),#22()),sqrt(#38()))    |    0.128    | 0.0876384185474 |
|          /(#44(),#38())          |     0.12    | 0.0877312501233 |
| /(+(#36(),#20()),+(#20(),#38())) |    0.112    | 0.0877388237597 |
| /(/(#20(),#22()),+(#36(),#22())) |    0.112    | 0.0878045893017 |
|  +(/(1(),#36()),/(#36(),#22()))  |    0.128    | 0.0879756577926 |
|   /(/(#20(),#22()),exp(#22()))   |    0.112    | 0.0879903259447 |
|  /(sqrt(#38()),+(#38(),#22()))   |    0.128    | 0.0880277281239 |
| /(+(#20(),#20()),+(#38(),#22())) |     0.12    |  0.08808325983  |
|  /(+(1(),#22()),*(#38(),#38()))  |    0.128    | 0.0881316369091 |
|    /(/(1(),#38()),log(#36()))    |    0.136    | 0.0882690759755 |
|    /(sqrt(#22()),log(#38()))     |    0.128    | 0.0883814119708 |
